EXPERIMENT,0%_poisoned,10%_poisoned,20%_poisoned,30%_poisoned,40%_poisoned,50%_poisoned
CL_ModelN1L2_Batchsize1,99,99,99,99,99,99
CL_ModelN1L3_Batchsize1,99,99,99,99,99,99
CL_ModelN1L4_Batchsize1,99,99,99,99,99,99
CL_ModelN1L5_Batchsize1,99,99,99,99,99,99
CL_ModelN1L6_Batchsize1,99,99,99,99,99,99
FL_ModelN1L2_Batchsize1,99,99,99,99,99,99
FL_ModelN1L3_Batchsize1,99,99,99,99,99,99
FL_ModelN1L4_Batchsize1,99,99,99,99,99,99
FL_ModelN1L5_Batchsize1,99,99,99,99,99,99
FL_ModelN1L6_Batchsize1,99,99,99,99,99,99
