Sample_Index,GT,Training_Class,Training_Client,Is_Poisoned
0,3,3,5,False
1,7,7,6,False
2,9,9,5,False
3,7,7,8,False
4,9,9,8,False
5,4,4,6,False
6,2,2,4,False
7,8,8,3,False
8,4,4,8,False
9,8,8,7,False
10,6,6,9,False
11,5,5,5,False
12,8,8,4,False
13,4,4,0,False
14,1,1,2,False
15,2,2,1,False
16,7,7,9,False
17,4,4,2,False
18,9,9,1,False
19,4,4,2,False
20,3,3,4,False
21,8,8,3,False
22,1,1,1,False
23,8,8,3,False
24,6,6,4,False
25,7,7,5,False
26,1,1,8,False
27,8,8,5,False
28,7,7,2,False
29,9,9,7,False
30,0,0,9,False
31,8,8,5,False
32,3,3,2,False
33,8,8,0,False
34,8,8,1,False
35,3,3,8,False
36,7,7,2,False
37,4,4,5,False
38,9,9,1,False
39,6,6,6,False
40,4,4,5,False
41,2,2,7,False
42,3,3,5,False
43,0,0,1,False
44,3,3,4,False
45,2,2,2,False
46,4,4,9,False
47,5,5,8,False
48,2,2,9,False
49,3,3,6,False
50,2,2,8,False
51,5,5,4,False
52,0,0,3,False
53,0,0,8,False
54,7,7,8,False
55,6,6,8,False
56,1,1,5,False
57,6,6,7,False
58,4,4,6,False
59,0,0,6,False
60,2,2,9,False
61,5,5,5,False
62,9,9,1,False
63,7,7,8,False
64,3,3,9,False
65,4,4,9,False
66,9,9,7,False
67,7,7,0,False
68,4,4,4,False
69,4,4,3,False
70,2,2,2,False
71,9,9,0,False
72,2,2,8,False
73,3,3,1,False
74,5,5,0,False
75,2,2,1,False
76,7,7,9,False
77,0,0,7,False
78,6,6,7,False
79,0,0,2,False
80,9,9,6,False
81,4,4,3,False
82,8,8,2,False
83,0,0,5,False
84,6,6,9,False
85,1,1,1,False
86,3,3,6,False
87,4,4,0,False
88,6,6,7,False
89,3,3,3,False
90,7,7,3,False
91,3,3,8,False
92,2,2,0,False
93,8,8,9,False
94,3,3,0,False
95,8,8,8,False
96,6,6,7,False
97,5,5,9,False
98,7,7,3,False
99,0,0,9,False
100,0,0,0,False
101,8,8,0,False
102,3,3,9,False
103,7,7,6,False
104,8,8,8,False
105,9,9,2,False
106,5,5,6,False
107,0,0,4,False
108,2,2,4,False
109,2,2,8,False
110,9,9,0,False
111,0,0,1,False
112,7,7,1,False
113,9,9,9,False
114,9,9,4,False
115,5,5,8,False
116,1,1,8,False
117,0,0,5,False
118,9,9,8,False
119,3,3,1,False
120,9,9,3,False
121,4,4,1,False
122,4,4,5,False
123,0,0,7,False
124,3,3,4,False
125,8,8,1,False
126,8,8,1,False
127,8,8,1,False
128,0,0,4,False
129,5,5,5,False
130,3,3,8,False
131,0,0,4,False
132,1,1,1,False
133,3,3,7,False
134,8,8,9,False
135,9,9,0,False
136,2,2,5,False
137,5,5,4,False
138,4,4,5,False
139,0,0,4,False
140,9,9,2,False
141,4,4,9,False
142,5,5,7,False
143,4,4,5,False
144,1,1,3,False
145,2,2,3,False
146,3,3,5,False
147,2,2,9,False
148,2,2,6,False
149,4,4,2,False
150,5,5,1,False
151,0,0,2,False
152,7,7,9,False
153,5,5,0,False
154,6,6,6,False
155,7,7,6,False
156,1,1,6,False
157,2,2,1,False
158,3,3,0,False
159,0,0,3,False
160,8,8,9,False
161,2,2,5,False
162,7,7,9,False
163,0,0,5,False
164,4,4,7,False
165,5,5,4,False
166,5,5,5,False
167,7,7,7,False
168,9,9,3,False
169,1,1,4,False
170,5,5,5,False
171,3,3,1,False
172,7,7,7,False
173,1,1,3,False
174,5,5,3,False
175,2,2,1,False
176,7,7,2,False
177,0,0,5,False
178,3,3,0,False
179,6,6,8,False
180,9,9,5,False
181,3,3,3,False
182,9,9,7,False
183,5,5,5,False
184,1,1,8,False
185,8,8,1,False
186,6,6,4,False
187,2,2,4,False
188,1,1,3,False
189,4,4,0,False
190,7,7,4,False
191,9,9,6,False
192,5,5,8,False
193,3,3,4,False
194,1,1,6,False
195,1,1,7,False
196,8,8,9,False
197,2,2,3,False
198,3,3,5,False
199,1,1,1,False
200,4,4,2,False
201,1,1,2,False
202,5,5,0,False
203,7,7,9,False
204,6,6,4,False
205,5,5,8,False
206,3,3,7,False
207,8,8,4,False
208,4,4,5,False
209,5,5,4,False
210,9,9,5,False
211,6,6,1,False
212,2,2,0,False
213,6,6,4,False
214,2,2,3,False
215,9,9,6,False
216,0,0,5,False
217,6,6,6,False
218,3,3,5,False
219,1,1,2,False
220,2,2,9,False
221,2,2,1,False
222,5,5,7,False
223,5,5,7,False
224,3,3,4,False
225,5,5,9,False
226,7,7,9,False
227,0,0,1,False
228,2,2,7,False
229,1,1,9,False
230,6,6,1,False
231,9,9,7,False
232,3,3,9,False
