Sample_Index,GT,Training_Class,Training_Client
0,8,8,0
1,0,1,2
2,1,1,4
3,5,5,1
4,9,9,7
5,2,2,7
6,1,1,4
7,7,7,9
8,6,6,4
9,2,2,8
10,0,0,0
11,9,9,9
12,6,6,7
13,8,8,4
14,7,7,8
15,4,4,2
16,5,5,5
17,8,8,2
18,1,1,2
19,7,7,1
20,4,4,9
21,9,9,0
22,6,6,1
23,2,2,0
24,2,2,4
25,9,9,4
26,8,8,4
27,3,3,8
28,5,5,7
29,0,1,4
30,1,1,7
31,8,8,7
32,1,1,4
33,4,4,6
34,1,1,4
35,8,8,6
36,1,1,6
37,3,3,6
38,8,8,2
39,9,9,2
40,1,1,8
41,1,1,2
42,8,8,3
43,2,2,4
44,8,8,5
45,5,5,2
46,9,9,5
47,6,6,5
48,4,4,1
49,0,1,0
50,8,8,3
51,3,3,5
52,9,9,1
53,1,1,6
54,1,1,3
55,0,0,7
56,6,6,1
57,9,9,9
58,9,9,0
59,7,7,8
60,6,6,9
61,5,5,8
62,1,1,7
63,3,3,8
64,0,1,5
65,5,5,3
66,0,1,8
67,5,5,3
68,0,1,2
69,2,2,6
70,9,9,6
71,6,6,6
72,9,9,6
73,3,3,2
74,2,2,6
75,6,6,0
76,8,8,8
77,5,5,0
78,9,9,8
79,7,7,8
80,6,6,5
81,2,2,9
82,0,1,5
83,3,3,2
84,7,7,7
85,2,2,7
86,5,5,0
87,4,4,9
88,9,9,2
89,4,4,3
90,0,0,2
91,1,1,9
92,4,4,3
93,2,2,9
94,4,4,3
95,3,3,5
96,2,2,5
97,1,1,8
98,4,4,6
99,2,2,3
100,7,7,1
101,7,7,3
102,2,2,3
103,9,9,7
104,0,0,2
105,4,4,4
106,5,5,0
107,2,2,2
108,9,9,2
109,8,8,9
110,0,0,5
111,4,4,2
112,8,8,3
113,9,9,0
114,0,0,5
115,4,4,4
116,6,6,2
117,5,5,6
118,3,3,3
119,2,2,3
120,7,7,3
121,8,8,9
122,5,5,5
123,4,4,2
124,1,1,0
125,5,5,1
126,9,9,8
127,6,6,0
128,5,5,5
129,0,0,8
130,3,3,4
131,1,1,9
132,6,6,8
133,8,8,8
134,9,9,5
135,5,5,5
136,9,9,4
137,2,2,1
138,1,1,7
139,5,5,1
140,7,7,2
141,1,1,6
142,2,2,7
143,1,1,9
144,2,2,6
145,4,4,7
146,3,3,1
147,9,9,0
148,5,5,0
149,8,8,6
150,2,2,7
151,7,7,3
152,2,2,4
153,4,4,4
154,3,3,9
155,4,4,2
156,8,8,0
157,2,2,6
158,9,9,8
159,3,3,5
160,6,6,3
161,8,8,7
162,8,8,5
163,6,6,7
164,2,2,0
165,5,5,7
166,8,8,3
167,2,2,4
168,8,8,8
169,3,3,2
170,5,5,7
171,6,6,9
172,3,3,4
173,8,8,9
174,4,4,6
175,4,4,9
176,5,5,6
177,1,1,0
178,0,0,2
179,4,4,8
180,8,8,3
181,4,4,6
182,5,5,6
183,7,7,8
184,8,8,5
185,1,1,0
186,4,4,6
187,4,4,5
188,2,2,6
189,8,8,3
190,4,4,5
191,2,2,7
192,7,7,9
193,9,9,7
194,3,3,8
195,2,2,6
196,4,4,0
197,2,2,9
198,8,8,2
199,2,2,0
200,3,3,0
201,2,2,8
202,3,3,6
203,7,7,4
204,2,2,3
205,3,3,8
206,2,2,3
207,4,4,5
208,1,1,1
209,8,8,3
210,6,6,0
211,0,1,6
212,5,5,9
213,7,7,8
214,8,8,5
215,6,6,2
216,7,7,6
217,8,8,9
218,7,7,0
219,8,8,2
220,5,5,9
221,7,7,2
222,8,8,2
223,5,5,3
224,5,5,9
225,7,7,2
226,5,5,2
227,9,9,8
228,6,6,3
229,2,2,2
230,4,4,5
231,0,1,8
232,0,1,0
233,7,7,7
234,5,5,3
235,4,4,3
236,4,4,1
237,0,0,3
